,Number of Beds,FTE - Employees on Payroll,Inpatient Revenue,Outpatient Revenue
2761,180.0,713.06,366327768.0,366726869.0
2762,111.0,980.29,258229915.0,540113459.0
2763,265.0,1138.3,1509824577.0,987616788.0
2764,48.0,165.29,15262817.0,87917450.0
2765,97.0,962.62,144933522.0,296130907.0
2766,25.0,67.71,3749895.0,21991147.0
2767,54.0,268.68,98548703.0,225413697.0
2768,25.0,97.34,4743550.0,18852998.0
2770,130.0,691.31,444314274.0,416408642.0
2771,188.0,782.39,717837429.0,937971921.0
2772,16.0,113.32,41949129.0,91693506.0
2773,102.0,296.96,200353448.0,231236462.0
2774,33.0,230.89,26138456.0,46859637.0
2775,46.0,342.61,47014457.0,113120385.0
2777,124.0,260.57,146204999.0,118705715.0
2778,82.0,351.5,191747166.0,224573626.0
2779,48.0,125.77,41833774.0,90903698.0
2780,75.0,335.18,102514617.0,144798805.0
2781,181.0,1329.94,1355484978.0,493921567.0
2782,99.0,598.32,230874134.0,271045940.0
2783,370.0,1288.0,1801524072.0,625472476.0
2784,248.0,2100.88,674950753.0,779189483.0
2785,45.0,438.69,37223447.0,141093645.0
2786,192.0,1087.22,528539854.0,736212369.0
2787,213.0,727.11,343872266.0,203164010.0
2788,145.0,261.5,95692569.0,3011140.0
2789,12.0,160.62,8277028.0,31388414.0
2790,347.0,1842.07,878502363.0,660790120.0
2791,350.0,1378.7,630328359.0,510041349.0
2792,239.0,2105.52,507204725.0,765848160.0
2793,214.0,2418.29,411828732.0,741464045.0
2794,239.0,2255.38,121367653.0,1279834160.0
2795,50.0,764.12,267737852.0,525521925.0
2796,184.0,1450.94,300030219.0,463053019.0
2797,60.0,519.22,72432394.0,119941464.0
2798,70.0,756.02,138709745.0,157134191.0
2799,353.0,858.1,1308299542.0,845852247.0
2800,73.0,685.07,440576352.0,411638612.0
2801,40.0,523.16,47171854.0,279347031.0
2802,201.0,1123.78,634903189.0,1099649825.0
2803,48.0,515.7,57382901.0,186895933.0
2804,54.0,296.2,78011780.0,145158162.0
2806,274.0,1142.01,450073982.0,516300568.0
2807,167.0,1444.34,459646112.0,1069045944.0
2808,79.0,604.16,153260847.0,405287823.0
2809,44.0,673.0,66907165.0,397657738.0
2810,262.0,1180.5,1719611460.0,1215258791.0
2811,137.0,445.88,292232213.0,461863243.0
2812,73.0,335.0,532114070.0,603361150.0
2813,361.0,2058.09,1714575961.0,1043592488.0
2814,39.0,517.51,43789210.0,130538190.0
2815,110.0,255.54,228848064.0,251003444.0
2817,144.0,691.56,441596711.0,628128103.0
2818,96.0,201.66,96801767.0,205268685.0
2819,190.0,788.88,666815208.0,579346998.0
2820,424.0,2585.06,856887329.0,996435892.0
2821,296.0,1338.26,381826917.0,621719218.0
2822,133.0,1752.38,209789575.0,643354787.0
