code,count,mean,std,min,25%,50%,75%,max
19295-5,0.0,,,,,,,
19415-9,0.0,,,,,,,
19429-0,0.0,,,,,,,
1952-1,11.0,2.5636363636363635,1.0830168302226215,1.87,2.02,2.2,2.6500000000000004,5.7
1953-9,3.0,6825.0,1337.704376908441,5474.0,6163.0,6852.0,7500.5,8149.0
1954-7,1.0,3.0,,3.0,3.0,3.0,3.0,3.0
19550-3,0.0,,,,,,,
19554-5,0.0,,,,,,,
1959-6,408.0,24.995098039215687,5.597909006794407,10.0,22.0,25.0,28.0,42.0
1960-4,170.0,25.90882352941176,6.232809145989524,10.9,22.05,25.0,28.0,48.0
1963-8,2868.0,25.130753138075313,4.260278306615162,6.0,23.0,25.0,27.0,47.0
19642-8,0.0,,,,,,,
19659-2,0.0,,,,,,,
1968-7,835.0,0.269688622754491,0.5426234336054251,0.0,0.1,0.1,0.2,5.2
1971-1,213.0,0.41497652582159633,0.26517638205033855,0.0,0.3,0.4,0.5,2.0
1975-2,1798.0,0.5783314794215795,0.5340144133610882,-0.2,0.3,0.5,0.6,6.4
19803-6,0.0,,,,,,,
19852-3,153.0,1320.6274509803923,503.682725458891,6.0,1000.0,1250.0,1500.0,2500.0
1986-9,5.0,2.1000000000000005,1.3946325680981353,0.4,1.4,1.9,2.7,4.1
19869-7,2.0,58.17,78.95554318728989,2.34,30.255,58.17,86.08500000000001,114.0
19870-5,1.0,2.66,,2.66,2.66,2.66,2.66,2.66
1988-5,150.0,47.315999999999995,68.49092339806394,0.1,3.1,11.649999999999999,68.75,308.0
1989-3,54.0,33.97222222222222,18.361705604447604,9.0,20.25,29.0,40.349999999999994,78.0
1990-1,9.0,33.22222222222222,8.012143561147942,20.0,29.0,36.0,40.0,40.0
19925-7,2.0,51.93,72.22388663039396,0.86,26.395,51.93,77.465,103.0
19926-5,1.0,0.89,,0.89,0.89,0.89,0.89,0.89
1994-3,2.0,1.1,0.07071067811865465,1.05,1.075,1.1,1.125,1.15
19991-9,2.0,24.78,34.25225248067636,0.56,12.67,24.78,36.89,49.0
19994-3,310.0,53.87741935483871,24.100070628982692,21.0,40.0,40.0,60.0,100.0
2003,10.0,250.6,620.2533890811615,10.0,48.0,66.5,69.25,2015.0
