premis_desc,premis_desc_ordinal
MTA - ORANGE LINE - DE SOTO,159
MTA - ORANGE LINE - LAUREL CANYON,160
MTA - ORANGE LINE - NORDHOFF,161
MTA - ORANGE LINE - NORTH HOLLYWOOD,162
MTA - ORANGE LINE - PIERCE COLLEGE,163
MTA - ORANGE LINE - RESEDA,164
MTA - ORANGE LINE - ROSCOE,165
MTA - ORANGE LINE - SEPULVEDA,166
MTA - ORANGE LINE - SHERMAN WAY,167
MTA - ORANGE LINE - TAMPA,168
MTA - ORANGE LINE - VALLEY COLLEGE,169
MTA - ORANGE LINE - VAN NUYS,170
MTA - ORANGE LINE - WOODLEY,171
MTA - ORANGE LINE - WOODMAN,172
MTA - PURPLE LINE - 7TH AND METRO CENTER,173
MTA - PURPLE LINE - CIVIC CENTER/GRAND PARK,174
MTA - PURPLE LINE - PERSHING SQUARE,175
MTA - PURPLE LINE - UNION STATION,176
MTA - PURPLE LINE - WESTLAKE/MACARTHUR PARK,177
MTA - PURPLE LINE - WILSHIRE/NORMANDIE,178
MTA - PURPLE LINE - WILSHIRE/VERMONT,179
MTA - PURPLE LINE - WILSHIRE/WESTERN,180
MTA - RED LINE - 7TH AND METRO CENTER,181
MTA - RED LINE - CIVIC CENTER/GRAND PARK,182
MTA - RED LINE - HOLLYWOOD/HIGHLAND,183
MTA - RED LINE - HOLLYWOOD/VINE,184
MTA - RED LINE - HOLLYWOOD/WESTERN,185
MTA - RED LINE - NORTH HOLLYWOOD,186
MTA - RED LINE - PERSHING SQUARE,187
MTA - RED LINE - UNION STATION,188
MTA - RED LINE - UNIVERSAL CITY/STUDIO CITY,189
MTA - RED LINE - VERMONT/BEVERLY,190
MTA - RED LINE - VERMONT/SANTA MONICA,191
MTA - RED LINE - VERMONT/SUNSET,192
MTA - RED LINE - WESTLAKE/MACARTHUR PARK,193
MTA - RED LINE - WILSHIRE/VERMONT,194
MTA - SILVER LINE - 37TH ST/USC,195
MTA - SILVER LINE - DOWNTOWN STREET STOPS,196
MTA - SILVER LINE - HARBOR FWY,197
MTA - SILVER LINE - HARBOR GATEWAY TRANSIT CTR,198
MTA - SILVER LINE - LAC/USC MEDICAL CENTER,199
MTA - SILVER LINE - MANCHESTER,200
MTA - SILVER LINE - PACIFIC COAST HWY,201
MTA - SILVER LINE - ROSECRANS,202
MTA - SILVER LINE - SLAUSON,203
MTA - SILVER LINE - UNION STATION,204
MTA BUS,205
MTA PROPERTY OR PARKING LOT,206
"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",207
MUNICIPAL BUS LINE INCLUDES LADOT/DASH,208
